OBJECTID,Longitude,Latitude,Section,Destination,Timestamp,Color,Time,Date
0,117.826332,34.46017449,To Pengcheng,Waterways,3-8-13 8:10,#DC143C,2013-3-8 8:10,"March 8th, 13 BC"
1,117.8209003,34.46033467,To Pengcheng,Waterways,,#DC143C,2013-3-8 8:13,"March 8th, 13 BC"
2,117.8156807,34.45919363,To Pengcheng,Waterways,,#DC143C,2013-3-8 8:16,"March 8th, 13 BC"
3,117.8140089,34.45514052,To Pengcheng,Waterways,,#DC143C,2013-3-8 8:20,"March 8th, 13 BC"
4,117.815027,34.45071698,To Pengcheng,Waterways,,#DC143C,2013-3-8 8:23,"March 8th, 13 BC"
5,117.8164249,34.44635947,To Pengcheng,Waterways,,#DC143C,2013-3-8 8:27,"March 8th, 13 BC"
6,117.8175045,34.44194321,To Pengcheng,Waterways,,#DC143C,2013-3-8 8:30,"March 8th, 13 BC"
7,117.8173045,34.43746646,To Pengcheng,Waterways,,#DC143C,2013-3-8 8:34,"March 8th, 13 BC"
8,117.8145593,34.43361025,To Pengcheng,Waterways,,#DC143C,2013-3-8 8:37,"March 8th, 13 BC"
9,117.81131,34.4300003,To Pengcheng,Waterways,,#DC143C,2013-3-8 8:41,"March 8th, 13 BC"
10,117.8099993,34.42567732,To Pengcheng,Waterways,,#DC143C,2013-3-8 8:44,"March 8th, 13 BC"
11,117.8104785,34.42119098,To Pengcheng,Waterways,,#DC143C,2013-3-8 8:48,"March 8th, 13 BC"
12,117.8110978,34.41671362,To Pengcheng,Waterways,,#DC143C,2013-3-8 8:51,"March 8th, 13 BC"
13,117.8102687,34.41229725,To Pengcheng,Waterways,,#DC143C,2013-3-8 8:55,"March 8th, 13 BC"
14,117.8072969,34.40854217,To Pengcheng,Waterways,,#DC143C,2013-3-8 8:58,"March 8th, 13 BC"
15,117.8035592,34.40526731,To Pengcheng,Waterways,,#DC143C,2013-3-8 9:02,"March 8th, 13 BC"
16,117.7999481,34.40189959,To Pengcheng,Waterways,,#DC143C,2013-3-8 9:05,"March 8th, 13 BC"
17,117.7974139,34.39793032,To Pengcheng,Waterways,,#DC143C,2013-3-8 9:09,"March 8th, 13 BC"
18,117.7959121,34.39360125,To Pengcheng,Waterways,,#DC143C,2013-3-8 9:12,"March 8th, 13 BC"
19,117.7951387,34.38914105,To Pengcheng,Waterways,,#DC143C,2013-3-8 9:16,"March 8th, 13 BC"
20,117.7949647,34.38463639,To Pengcheng,Waterways,,#DC143C,2013-3-8 9:19,"March 8th, 13 BC"
21,117.7952954,34.38013724,To Pengcheng,Waterways,,#DC143C,2013-3-8 9:23,"March 8th, 13 BC"
22,117.7960639,34.37567472,To Pengcheng,Waterways,,#DC143C,2013-3-8 9:26,"March 8th, 13 BC"
23,117.7972306,34.37127185,To Pengcheng,Waterways,,#DC143C,2013-3-8 9:30,"March 8th, 13 BC"
24,117.7987786,34.36695063,To Pengcheng,Waterways,,#DC143C,2013-3-8 9:33,"March 8th, 13 BC"
25,117.8012565,34.36295037,To Pengcheng,Waterways,,#DC143C,2013-3-8 9:37,"March 8th, 13 BC"
26,117.8028643,34.35877314,To Pengcheng,Waterways,,#DC143C,2013-3-8 9:40,"March 8th, 13 BC"
27,117.7990346,34.35570059,To Pengcheng,Waterways,,#DC143C,2013-3-8 9:44,"March 8th, 13 BC"
28,117.7939645,34.35412311,To Pengcheng,Waterways,,#DC143C,2013-3-8 9:47,"March 8th, 13 BC"
29,117.7886709,34.35465547,To Pengcheng,Waterways,,#DC143C,2013-3-8 9:51,"March 8th, 13 BC"
30,117.7841203,34.35709946,To Pengcheng,Waterways,,#DC143C,2013-3-8 9:54,"March 8th, 13 BC"
31,117.7806834,34.3605321,To Pengcheng,Waterways,,#DC143C,2013-3-8 9:57,"March 8th, 13 BC"
32,117.7775952,34.36416005,To Pengcheng,Waterways,,#DC143C,2013-3-8 10:01,"March 8th, 13 BC"
33,117.7722509,34.36430828,To Pengcheng,Waterways,,#DC143C,2013-3-8 10:04,"March 8th, 13 BC"
34,117.7672931,34.36255737,To Pengcheng,Waterways,,#DC143C,2013-3-8 10:08,"March 8th, 13 BC"
35,117.7669649,34.35829496,To Pengcheng,Waterways,,#DC143C,2013-3-8 10:11,"March 8th, 13 BC"
36,117.7688175,34.35405674,To Pengcheng,Waterways,,#DC143C,2013-3-8 10:15,"March 8th, 13 BC"
37,117.7702308,34.34971421,To Pengcheng,Waterways,,#DC143C,2013-3-8 10:18,"March 8th, 13 BC"
38,117.7692337,34.34533507,To Pengcheng,Waterways,,#DC143C,2013-3-8 10:22,"March 8th, 13 BC"
