OBJECTID,Longitude,Latitude,Section,Destination,Timestamp,Color,Time,Date
1,117.825531,34.46014023,To Pengcheng,Overland Route,3-8-13 8:10,#2ca25f,2013-3-8 8:10,"March 8th, 13 BC"
2,117.8236389,34.4625206,To Pengcheng,Overland Route,3-8-13 8:15,#2ca25f,2013-3-8 8:15,"March 8th, 13 BC"
3,117.8189621,34.46252441,To Pengcheng,Overland Route,3-8-13 8:20,#2ca25f,2013-3-8 8:20,"March 8th, 13 BC"
4,117.814003,34.46157455,To Pengcheng,Overland Route,3-8-13 8:25,#2ca25f,2013-3-8 8:25,"March 8th, 13 BC"
5,117.8098526,34.4589653,To Pengcheng,Overland Route,3-8-13 8:30,#2ca25f,2013-3-8 8:30,"March 8th, 13 BC"
6,117.8058624,34.45714951,To Pengcheng,Overland Route,3-8-13 8:35,#2ca25f,2013-3-8 8:35,"March 8th, 13 BC"
7,117.8027267,34.4547081,To Pengcheng,Overland Route,3-8-13 8:40,#2ca25f,2013-3-8 8:40,"March 8th, 13 BC"
8,117.798584,34.45209885,To Pengcheng,Overland Route,3-8-13 8:45,#2ca25f,2013-3-8 8:45,"March 8th, 13 BC"
9,117.7971649,34.44807434,To Pengcheng,Overland Route,3-8-13 8:50,#2ca25f,2013-3-8 8:50,"March 8th, 13 BC"
10,117.793869,34.44516373,To Pengcheng,Overland Route,3-8-13 8:55,#2ca25f,2013-3-8 8:55,"March 8th, 13 BC"
11,117.7893982,34.44321442,To Pengcheng,Overland Route,3-8-13 9:00,#2ca25f,2013-3-8 9:00,"March 8th, 13 BC"
12,117.7847214,34.44168472,To Pengcheng,Overland Route,3-8-13 9:05,#2ca25f,2013-3-8 9:05,"March 8th, 13 BC"
13,117.7807388,34.43986511,To Pengcheng,Overland Route,3-8-13 9:10,#2ca25f,2013-3-8 9:10,"March 8th, 13 BC"
14,117.7766037,34.43881607,To Pengcheng,Overland Route,3-8-13 9:15,#2ca25f,2013-3-8 9:15,"March 8th, 13 BC"
15,117.7720261,34.4370842,To Pengcheng,Overland Route,3-8-13 9:20,#2ca25f,2013-3-8 9:20,"March 8th, 13 BC"
16,117.7677307,34.43477249,To Pengcheng,Overland Route,3-8-13 9:25,#2ca25f,2013-3-8 9:25,"March 8th, 13 BC"
17,117.7626724,34.434021,To Pengcheng,Overland Route,3-8-13 9:30,#2ca25f,2013-3-8 9:30,"March 8th, 13 BC"
18,117.759346,34.4318161,To Pengcheng,Overland Route,3-8-13 9:35,#2ca25f,2013-3-8 9:35,"March 8th, 13 BC"
19,117.756897,34.42815399,To Pengcheng,Overland Route,3-8-13 9:40,#2ca25f,2013-3-8 9:40,"March 8th, 13 BC"
20,117.7523956,34.427845,To Pengcheng,Overland Route,3-8-13 9:45,#2ca25f,2013-3-8 9:45,"March 8th, 13 BC"
21,117.7479935,34.42608261,To Pengcheng,Overland Route,3-8-13 9:50,#2ca25f,2013-3-8 9:50,"March 8th, 13 BC"
22,117.7443161,34.42330551,To Pengcheng,Overland Route,3-8-13 9:55,#2ca25f,2013-3-8 9:55,"March 8th, 13 BC"
23,117.7411041,34.41991043,To Pengcheng,Overland Route,3-8-13 10:00,#2ca25f,2013-3-8 10:00,"March 8th, 13 BC"
24,117.7375565,34.41662979,To Pengcheng,Overland Route,3-8-13 10:05,#2ca25f,2013-3-8 10:05,"March 8th, 13 BC"
25,117.7356415,34.41277695,To Pengcheng,Overland Route,3-8-13 10:10,#2ca25f,2013-3-8 10:10,"March 8th, 13 BC"
26,117.7327881,34.40971375,To Pengcheng,Overland Route,3-8-13 10:15,#2ca25f,2013-3-8 10:15,"March 8th, 13 BC"
27,117.7290497,34.40695953,To Pengcheng,Overland Route,3-8-13 10:20,#2ca25f,2013-3-8 10:20,"March 8th, 13 BC"
28,117.7241058,34.40756989,To Pengcheng,Overland Route,3-8-13 10:25,#2ca25f,2013-3-8 10:25,"March 8th, 13 BC"
29,117.7203522,34.40527725,To Pengcheng,Overland Route,3-8-13 10:30,#2ca25f,2013-3-8 10:30,"March 8th, 13 BC"
30,117.7159348,34.40321732,To Pengcheng,Overland Route,3-8-13 10:35,#2ca25f,2013-3-8 10:35,"March 8th, 13 BC"
31,117.7115173,34.40115738,To Pengcheng,Overland Route,3-8-13 10:40,#2ca25f,2013-3-8 10:40,"March 8th, 13 BC"
32,117.7073746,34.39854431,To Pengcheng,Overland Route,3-8-13 10:45,#2ca25f,2013-3-8 10:45,"March 8th, 13 BC"
33,117.7023544,34.39771652,To Pengcheng,Overland Route,3-8-13 10:50,#2ca25f,2013-3-8 10:50,"March 8th, 13 BC"
34,117.697464,34.39664078,To Pengcheng,Overland Route,3-8-13 10:55,#2ca25f,2013-3-8 10:55,"March 8th, 13 BC"
35,117.6927719,34.39513397,To Pengcheng,Overland Route,3-8-13 11:00,#2ca25f,2013-3-8 11:00,"March 8th, 13 BC"
36,117.6887207,34.39233398,To Pengcheng,Overland Route,3-8-13 11:05,#2ca25f,2013-3-8 11:05,"March 8th, 13 BC"
37,117.6844482,34.39157867,To Pengcheng,Overland Route,3-8-13 11:10,#2ca25f,2013-3-8 11:10,"March 8th, 13 BC"
