OBJECTID,Longitude,Latitude,Section,Destination,Time,Date
0,118.6820452,34.59914996,To Li County,Waterways,2011-12-31 8:10,"December 31st, 11 BC"
1,118.6772821,34.60053524,To Li County,Waterways,2011-12-31 8:12,"December 31st, 11 BC"
2,118.6718314,34.60061007,To Li County,Waterways,2011-12-31 8:15,"December 31st, 11 BC"
3,118.6663808,34.60068465,To Li County,Waterways,2011-12-31 8:17,"December 31st, 11 BC"
4,118.6609301,34.60075898,To Li County,Waterways,2011-12-31 8:20,"December 31st, 11 BC"
5,118.6554794,34.60083308,To Li County,Waterways,2011-12-31 8:22,"December 31st, 11 BC"
6,118.6516503,34.60220469,To Li County,Waterways,2011-12-31 8:25,"December 31st, 11 BC"
7,118.6461995,34.60227837,To Li County,Waterways,2011-12-31 8:27,"December 31st, 11 BC"
8,118.6407486,34.60235181,To Li County,Waterways,2011-12-31 8:30,"December 31st, 11 BC"
9,118.6352978,34.602425,To Li County,Waterways,2011-12-31 8:32,"December 31st, 11 BC"
10,118.6298469,34.60249795,To Li County,Waterways,2011-12-31 8:35,"December 31st, 11 BC"
11,118.6260173,34.60386877,To Li County,Waterways,2011-12-31 8:38,"December 31st, 11 BC"
12,118.6205663,34.60394131,To Li County,Waterways,2011-12-31 8:40,"December 31st, 11 BC"
13,118.6152766,34.60497041,To Li County,Waterways,2011-12-31 8:43,"December 31st, 11 BC"
14,118.6100264,34.6056703,To Li County,Waterways,2011-12-31 8:45,"December 31st, 11 BC"
15,118.6051213,34.60678496,To Li County,Waterways,2011-12-31 8:48,"December 31st, 11 BC"
16,118.5996701,34.60685657,To Li County,Waterways,2011-12-31 8:50,"December 31st, 11 BC"
17,118.596526,34.6095372,To Li County,Waterways,2011-12-31 8:53,"December 31st, 11 BC"
18,118.5910746,34.60960843,To Li County,Waterways,2011-12-31 8:55,"December 31st, 11 BC"
19,118.5864104,34.61145932,To Li County,Waterways,2011-12-31 8:58,"December 31st, 11 BC"
20,118.5829474,34.61402897,To Li County,Waterways,2011-12-31 9:01,"December 31st, 11 BC"
21,118.5786828,34.61636806,To Li County,Waterways,2011-12-31 9:03,"December 31st, 11 BC"
22,118.5748517,34.61773731,To Li County,Waterways,2011-12-31 9:06,"December 31st, 11 BC"
23,118.5697882,34.61855023,To Li County,Waterways,2011-12-31 9:08,"December 31st, 11 BC"
24,118.5691767,34.62282953,To Li County,Waterways,2011-12-31 9:11,"December 31st, 11 BC"
25,118.5692616,34.62733683,To Li County,Waterways,2011-12-31 9:13,"December 31st, 11 BC"
26,118.5693465,34.63184413,To Li County,Waterways,2011-12-31 9:16,"December 31st, 11 BC"
